ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type,code,date
2025-06-19 09:00:13.762440,48.5,202,48.5,36,48.7,5,1,2316,2025-06-19
2025-06-19 09:00:13.800311,48.5,32,48.5,4,48.7,5,2,2316,2025-06-19
2025-06-19 09:00:13.804155,48.5,1,48.5,3,48.7,5,2,2316,2025-06-19
2025-06-19 09:00:13.818517,48.5,3,48.3,2,48.4,6,2,2316,2025-06-19
2025-06-19 09:00:13.818517,48.4,2,48.3,2,48.4,6,2,2316,2025-06-19
2025-06-19 09:00:13.858983,48.4,2,48.3,2,48.4,5,1,2316,2025-06-19
2025-06-19 09:00:13.859164,48.3,2,48.3,1,48.4,5,2,2316,2025-06-19
2025-06-19 09:00:13.871418,48.3,1,48.0,12,48.4,5,2,2316,2025-06-19
2025-06-19 09:00:13.887982,48.4,1,48.0,12,48.4,4,1,2316,2025-06-19
2025-06-19 09:00:13.888833,48.4,1,48.0,12,48.4,3,1,2316,2025-06-19
2025-06-19 09:00:16.080096,48.25,1,48.25,2,48.5,3,2,2316,2025-06-19
2025-06-19 09:00:16.108729,48.25,2,48.0,12,48.5,3,2,2316,2025-06-19
2025-06-19 09:00:16.499927,48.4,1,48.05,1,48.4,2,1,2316,2025-06-19
2025-06-19 09:00:18.532517,48.35,1,48.1,2,48.35,1,1,2316,2025-06-19
2025-06-19 09:00:19.392199,48.35,1,48.1,1,48.35,1,1,2316,2025-06-19
2025-06-19 09:00:23.841700,48.35,1,48.25,1,48.4,3,1,2316,2025-06-19
2025-06-19 09:00:23.841700,48.4,2,48.25,1,48.4,3,1,2316,2025-06-19
2025-06-19 09:00:24.731541,48.35,1,48.25,1,48.4,3,2,2316,2025-06-19
2025-06-19 09:00:27.486478,48.25,1,48.15,1,48.35,3,2,2316,2025-06-19
2025-06-19 09:00:27.569275,48.3,1,48.1,2,48.35,5,1,2316,2025-06-19
2025-06-19 09:00:28.418557,48.3,2,48.1,2,48.4,2,1,2316,2025-06-19
2025-06-19 09:00:28.418557,48.35,3,48.1,2,48.4,2,1,2316,2025-06-19
2025-06-19 09:00:30.425235,48.1,1,48.0,10,48.25,4,2,2316,2025-06-19
2025-06-19 09:00:30.425235,48.0,3,48.0,10,48.25,4,2,2316,2025-06-19
2025-06-19 09:00:30.756956,48.15,1,48.0,10,48.2,4,2,2316,2025-06-19
2025-06-19 09:00:31.587677,48.0,1,48.0,9,48.15,4,2,2316,2025-06-19
2025-06-19 09:00:32.372877,48.15,1,48.0,9,48.25,1,2,2316,2025-06-19
2025-06-19 09:00:33.572807,48.0,9,47.9,1,48.15,1,2,2316,2025-06-19
2025-06-19 09:00:33.907182,48.1,2,47.9,1,48.15,2,1,2316,2025-06-19
2025-06-19 09:00:34.635538,48.0,1,47.9,1,48.1,2,2,2316,2025-06-19
2025-06-19 09:00:34.701939,48.0,1,47.9,1,48.1,2,2,2316,2025-06-19
2025-06-19 09:00:35.894511,48.05,3,48.05,2,48.15,1,2,2316,2025-06-19
2025-06-19 09:00:35.923453,48.05,2,47.9,1,48.15,1,2,2316,2025-06-19
2025-06-19 09:00:38.567831,48.0,1,48.0,1,48.15,4,2,2316,2025-06-19
2025-06-19 09:00:38.614398,48.0,1,47.9,1,48.1,2,2,2316,2025-06-19
2025-06-19 09:00:39.677829,47.9,1,47.7,31,48.0,3,2,2316,2025-06-19
2025-06-19 09:00:39.677829,47.8,3,47.7,31,48.0,3,2,2316,2025-06-19
2025-06-19 09:00:39.677829,47.75,1,47.7,31,48.0,3,2,2316,2025-06-19
2025-06-19 09:00:39.790466,47.75,1,47.7,29,47.95,2,2,2316,2025-06-19
2025-06-19 09:00:39.790466,47.7,2,47.7,29,47.95,2,2,2316,2025-06-19
2025-06-19 09:00:42.414635,47.95,1,47.75,6,47.95,1,1,2316,2025-06-19
2025-06-19 09:00:44.390462,47.9,1,47.75,6,48.0,3,1,2316,2025-06-19
2025-06-19 09:00:45.052931,48.0,3,47.8,2,48.05,2,1,2316,2025-06-19
2025-06-19 09:00:46.821846,48.15,3,48.2,1,48.25,1,1,2316,2025-06-19
2025-06-19 09:00:46.821846,48.2,9,48.2,1,48.25,1,1,2316,2025-06-19
2025-06-19 09:00:46.848243,48.25,1,48.2,1,48.35,3,1,2316,2025-06-19
2025-06-19 09:00:47.242315,48.35,1,48.2,1,48.35,2,1,2316,2025-06-19
2025-06-19 09:00:49.434282,48.2,1,47.75,5,48.35,5,2,2316,2025-06-19
2025-06-19 09:00:49.434282,48.0,2,47.75,5,48.35,5,2,2316,2025-06-19
2025-06-19 09:00:49.434282,47.95,7,47.75,5,48.35,5,2,2316,2025-06-19
2025-06-19 09:00:49.434282,47.9,1,47.75,5,48.35,5,2,2316,2025-06-19
2025-06-19 09:00:49.434282,47.85,2,47.75,5,48.35,5,2,2316,2025-06-19
2025-06-19 09:00:49.434282,47.8,2,47.75,5,48.35,5,2,2316,2025-06-19
2025-06-19 09:00:50.012121,48.2,1,48.0,1,48.3,8,2,2316,2025-06-19
2025-06-19 09:00:50.494351,48.0,1,47.75,6,48.2,2,2,2316,2025-06-19
2025-06-19 09:00:53.560095,48.1,1,48.0,2,48.1,1,1,2316,2025-06-19
2025-06-19 09:00:54.634718,48.1,1,48.0,2,48.2,3,1,2316,2025-06-19
2025-06-19 09:00:55.884809,48.0,1,48.0,2,48.2,4,2,2316,2025-06-19
2025-06-19 09:00:55.994496,48.05,1,48.1,9,48.2,4,1,2316,2025-06-19
2025-06-19 09:00:56.609750,48.1,1,48.1,8,48.25,7,2,2316,2025-06-19
2025-06-19 09:00:56.638011,48.1,2,48.1,7,48.25,7,2,2316,2025-06-19
2025-06-19 09:00:58.121781,48.1,2,48.1,5,48.2,2,2,2316,2025-06-19
2025-06-19 09:00:58.169978,48.1,2,48.1,3,48.2,2,2,2316,2025-06-19
2025-06-19 09:00:59.067414,48.25,1,48.1,4,48.25,4,1,2316,2025-06-19
2025-06-19 09:00:59.358061,48.2,4,48.2,16,48.25,4,2,2316,2025-06-19
2025-06-19 09:00:59.787545,48.2,2,48.2,10,48.25,4,2,2316,2025-06-19
2025-06-19 09:00:59.841743,48.2,2,48.2,10,48.25,7,2,2316,2025-06-19
2025-06-19 09:00:59.876585,48.2,1,48.2,7,48.25,7,2,2316,2025-06-19
2025-06-19 09:00:59.924440,48.2,2,48.2,7,48.25,7,2,2316,2025-06-19
2025-06-19 09:01:03.119435,48.2,5,48.2,1,48.25,8,2,2316,2025-06-19
2025-06-19 09:01:03.152216,48.2,1,48.1,4,48.25,8,2,2316,2025-06-19
2025-06-19 09:01:03.547472,48.1,4,48.05,1,48.15,14,2,2316,2025-06-19
2025-06-19 09:01:03.589735,48.05,1,48.0,11,48.15,14,2,2316,2025-06-19
2025-06-19 09:01:03.738984,48.1,3,48.0,11,48.1,1,1,2316,2025-06-19
2025-06-19 09:01:05.747077,48.0,11,48.0,11,48.1,3,2,2316,2025-06-19
2025-06-19 09:01:06.171723,48.05,1,48.0,1,48.05,1,1,2316,2025-06-19
2025-06-19 09:01:06.432797,48.05,1,48.0,1,48.1,4,1,2316,2025-06-19
2025-06-19 09:01:07.162953,48.1,1,48.0,1,48.1,2,1,2316,2025-06-19
2025-06-19 09:01:07.263349,48.1,1,48.0,1,48.1,1,1,2316,2025-06-19
