ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type,code,date
2025-06-17 09:00:03.607339,43.5,7,43.5,1,43.7,4,1,2316,2025-06-17
2025-06-17 09:00:05.287234,43.5,1,43.0,2,43.7,5,2,2316,2025-06-17
2025-06-17 09:04:45.701514,43.5,6,43.5,5,43.6,2,1,2316,2025-06-17
2025-06-17 09:05:31.957246,43.55,1,43.5,5,43.6,4,2,2316,2025-06-17
2025-06-17 09:09:01.725949,43.5,1,43.5,4,43.55,4,2,2316,2025-06-17
2025-06-17 09:09:54.294823,43.5,1,43.5,3,43.55,4,2,2316,2025-06-17
2025-06-17 09:09:56.139732,43.5,3,43.45,5,43.55,4,2,2316,2025-06-17
2025-06-17 09:12:04.692931,43.5,2,43.45,5,43.5,1,1,2316,2025-06-17
2025-06-17 09:12:05.806082,43.5,1,43.45,5,43.55,3,1,2316,2025-06-17
2025-06-17 09:12:13.046598,43.55,2,43.5,2,43.6,2,1,2316,2025-06-17
2025-06-17 09:19:51.590951,43.5,1,43.45,5,43.6,2,2,2316,2025-06-17
2025-06-17 09:21:08.246897,43.5,1,43.45,6,43.6,2,1,2316,2025-06-17
2025-06-17 09:24:58.393307,43.5,2,43.45,6,43.5,3,2,2316,2025-06-17
2025-06-17 09:25:03.885398,43.5,1,43.45,6,43.5,3,1,2316,2025-06-17
2025-06-17 09:25:13.911149,43.5,1,43.45,6,43.5,2,1,2316,2025-06-17
2025-06-17 09:29:35.494135,43.5,1,43.45,6,43.5,1,1,2316,2025-06-17
2025-06-17 09:29:46.557506,43.5,1,43.5,1,43.6,3,1,2316,2025-06-17
2025-06-17 09:30:08.811931,43.55,1,43.5,3,43.6,2,2,2316,2025-06-17
2025-06-17 09:38:08.116257,43.5,1,43.4,2,43.45,23,2,2316,2025-06-17
2025-06-17 09:38:08.116257,43.45,7,43.4,2,43.45,23,2,2316,2025-06-17
2025-06-17 09:43:38.060107,43.4,1,43.4,2,43.45,35,2,2316,2025-06-17
2025-06-17 09:45:48.256738,43.4,1,43.4,1,43.45,35,2,2316,2025-06-17
2025-06-17 09:46:34.774578,43.4,1,43.35,2,43.45,35,2,2316,2025-06-17
2025-06-17 09:47:10.153262,43.45,10,43.35,2,43.45,25,1,2316,2025-06-17
2025-06-17 09:51:54.701007,43.35,3,43.2,1,43.4,1,2,2316,2025-06-17
2025-06-17 09:51:54.763289,43.35,1,43.35,1,43.4,3,2,2316,2025-06-17
2025-06-17 10:01:57.745790,43.2,3,43.1,5,43.35,6,2,2316,2025-06-17
2025-06-17 10:01:57.745790,43.15,10,43.1,5,43.35,6,2,2316,2025-06-17
2025-06-17 10:02:29.593552,43.2,1,43.1,4,43.3,4,2,2316,2025-06-17
2025-06-17 10:02:29.593552,43.15,10,43.1,4,43.3,4,2,2316,2025-06-17
2025-06-17 10:08:18.169099,43.2,2,43.2,2,43.25,4,2,2316,2025-06-17
2025-06-17 10:08:49.836890,43.2,1,43.15,21,43.25,4,2,2316,2025-06-17
2025-06-17 10:13:42.420116,43.15,1,43.15,20,43.25,4,2,2316,2025-06-17
2025-06-17 10:14:02.150078,43.15,1,43.15,18,43.25,6,2,2316,2025-06-17
2025-06-17 10:16:19.901433,43.15,8,43.15,11,43.2,8,2,2316,2025-06-17
2025-06-17 10:16:20.016919,43.15,1,43.15,11,43.2,8,2,2316,2025-06-17
2025-06-17 10:16:45.084003,43.15,5,43.15,6,43.2,7,2,2316,2025-06-17
2025-06-17 10:28:42.080484,43.15,1,43.15,6,43.2,6,2,2316,2025-06-17
2025-06-17 10:29:14.623555,43.15,4,43.15,2,43.2,6,2,2316,2025-06-17
2025-06-17 10:30:52.681520,43.15,1,43.1,5,43.2,6,2,2316,2025-06-17
2025-06-17 10:45:02.260338,43.1,2,43.1,5,43.15,6,2,2316,2025-06-17
2025-06-17 10:51:40.974801,43.15,2,43.1,7,43.15,4,1,2316,2025-06-17
2025-06-17 11:02:39.405205,43.15,6,43.1,7,43.15,1,1,2316,2025-06-17
2025-06-17 11:03:44.394627,43.15,1,43.1,7,43.2,3,1,2316,2025-06-17
2025-06-17 11:03:44.394627,43.2,1,43.1,7,43.2,3,1,2316,2025-06-17
2025-06-17 11:26:20.121856,43.15,2,43.1,6,43.2,9,2,2316,2025-06-17
2025-06-17 11:27:43.580857,43.15,1,43.1,6,43.2,9,2,2316,2025-06-17
2025-06-17 11:34:22.752010,43.1,1,43.1,6,43.15,4,2,2316,2025-06-17
2025-06-17 11:37:48.534021,43.1,3,43.1,3,43.15,1,2,2316,2025-06-17
2025-06-17 11:40:40.346927,43.1,2,43.1,1,43.15,1,2,2316,2025-06-17
2025-06-17 11:48:15.955118,43.1,1,43.1,3,43.15,1,2,2316,2025-06-17
2025-06-17 11:48:16.000536,43.1,1,43.1,1,43.15,1,2,2316,2025-06-17
2025-06-17 11:48:16.035189,43.1,1,43.05,16,43.15,1,2,2316,2025-06-17
2025-06-17 11:50:15.739096,43.05,16,43.0,9,43.1,1,2,2316,2025-06-17
