ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type,code,date
2025-06-20 09:00:07.633750,48.4,55,48.35,3,48.5,2,2,2316,2025-06-20
2025-06-20 09:00:07.713061,48.5,2,48.35,3,48.55,5,1,2316,2025-06-20
2025-06-20 09:00:10.498714,48.35,3,48.3,1,48.4,13,2,2316,2025-06-20
2025-06-20 09:00:11.059294,48.3,1,48.25,1,48.4,13,2,2316,2025-06-20
2025-06-20 09:00:12.147545,48.25,1,48.2,5,48.35,1,2,2316,2025-06-20
2025-06-20 09:00:13.528870,48.2,1,48.2,4,48.35,1,2,2316,2025-06-20
2025-06-20 09:00:16.624740,48.35,1,48.2,4,48.4,12,1,2316,2025-06-20
2025-06-20 09:00:24.818208,48.35,1,48.3,2,48.4,12,1,2316,2025-06-20
2025-06-20 09:00:32.689310,48.3,1,48.3,2,48.35,1,2,2316,2025-06-20
2025-06-20 09:00:36.087668,48.35,1,48.3,2,48.4,12,1,2316,2025-06-20
2025-06-20 09:00:40.984105,48.35,1,48.35,2,48.4,12,1,2316,2025-06-20
2025-06-20 09:00:41.803545,48.35,1,48.35,1,48.4,12,2,2316,2025-06-20
2025-06-20 09:00:43.731671,48.35,3,48.3,3,48.4,12,2,2316,2025-06-20
2025-06-20 09:00:48.849167,48.35,1,48.35,3,48.4,12,2,2316,2025-06-20
2025-06-20 09:00:56.061699,48.4,1,48.35,3,48.4,11,1,2316,2025-06-20
2025-06-20 09:00:56.355424,48.35,3,48.3,3,48.35,7,2,2316,2025-06-20
2025-06-20 09:00:58.790776,48.3,1,48.3,2,48.35,7,2,2316,2025-06-20
2025-06-20 09:00:59.144858,48.3,2,48.25,2,48.35,7,2,2316,2025-06-20
2025-06-20 09:00:59.144858,48.25,2,48.25,2,48.35,7,2,2316,2025-06-20
2025-06-20 09:01:01.391944,48.25,1,48.25,1,48.35,7,2,2316,2025-06-20
2025-06-20 09:01:02.167271,48.25,1,48.2,5,48.35,7,2,2316,2025-06-20
2025-06-20 09:01:02.167271,48.2,1,48.2,5,48.35,7,2,2316,2025-06-20
2025-06-20 09:01:08.993386,48.2,1,48.2,4,48.3,2,2,2316,2025-06-20
2025-06-20 09:01:09.844415,48.2,1,48.2,3,48.3,2,2,2316,2025-06-20
2025-06-20 09:01:10.870511,48.2,5,48.15,2,48.3,2,2,2316,2025-06-20
2025-06-20 09:01:24.522303,48.15,1,48.15,1,48.2,9,2,2316,2025-06-20
2025-06-20 09:01:26.270876,48.15,1,48.1,2,48.15,4,2,2316,2025-06-20
2025-06-20 09:01:27.212173,48.15,1,48.1,2,48.15,4,1,2316,2025-06-20
2025-06-20 09:01:30.104069,48.15,1,48.1,2,48.15,3,1,2316,2025-06-20
2025-06-20 09:01:30.229427,48.15,1,48.1,2,48.15,2,1,2316,2025-06-20
2025-06-20 09:01:30.435692,48.15,2,48.1,4,48.2,9,1,2316,2025-06-20
2025-06-20 09:01:30.470877,48.15,1,48.1,4,48.2,9,2,2316,2025-06-20
2025-06-20 09:01:30.482131,48.1,1,48.1,5,48.2,9,2,2316,2025-06-20
2025-06-20 09:01:40.004444,48.1,3,48.05,2,48.15,2,2,2316,2025-06-20
2025-06-20 09:01:40.217915,48.05,2,48.0,8,48.15,2,2,2316,2025-06-20
2025-06-20 09:01:40.217915,48.0,2,48.0,8,48.15,2,2,2316,2025-06-20
2025-06-20 09:01:42.666073,48.15,1,48.0,10,48.15,1,1,2316,2025-06-20
2025-06-20 09:01:42.697171,48.15,1,48.0,10,48.2,6,1,2316,2025-06-20
2025-06-20 09:01:42.738539,48.2,6,48.05,3,48.25,1,1,2316,2025-06-20
