ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type,code,date
2025-06-16 09:00:12.019397,1260.0,143,1255.0,10,1260.0,49,1,2454,2025-06-16
2025-06-16 09:00:12.050068,1255.0,3,1255.0,7,1260.0,51,2,2454,2025-06-16
2025-06-16 09:00:12.091578,1260.0,1,1255.0,7,1260.0,49,1,2454,2025-06-16
2025-06-16 09:00:12.115823,1260.0,1,1255.0,12,1260.0,48,1,2454,2025-06-16
2025-06-16 09:00:12.141390,1260.0,4,1255.0,14,1260.0,43,1,2454,2025-06-16
2025-06-16 09:00:12.161699,1255.0,1,1255.0,17,1260.0,43,2,2454,2025-06-16
2025-06-16 09:00:12.244621,1260.0,39,1255.0,40,1260.0,39,1,2454,2025-06-16
2025-06-16 09:00:12.279042,1260.0,1,1255.0,40,1265.0,181,1,2454,2025-06-16
2025-06-16 09:00:12.279070,1260.0,1,1260.0,1,1265.0,181,2,2454,2025-06-16
2025-06-16 09:00:12.338860,1265.0,5,1260.0,3,1265.0,176,1,2454,2025-06-16
2025-06-16 09:00:12.401267,1265.0,1,1260.0,5,1265.0,175,1,2454,2025-06-16
2025-06-16 09:00:12.687945,1265.0,2,1260.0,6,1265.0,181,1,2454,2025-06-16
2025-06-16 09:00:19.013324,1265.0,1,1260.0,61,1265.0,157,1,2454,2025-06-16
2025-06-16 09:00:19.058466,1265.0,34,1260.0,61,1265.0,123,1,2454,2025-06-16
2025-06-16 09:00:19.086765,1265.0,78,1260.0,61,1265.0,45,1,2454,2025-06-16
2025-06-16 09:00:19.087085,1265.0,4,1260.0,63,1265.0,41,1,2454,2025-06-16
2025-06-16 09:00:19.120087,1265.0,2,1260.0,64,1265.0,39,1,2454,2025-06-16
2025-06-16 09:00:19.126527,1265.0,4,1260.0,68,1265.0,35,1,2454,2025-06-16
2025-06-16 09:00:19.128104,1265.0,34,1260.0,69,1265.0,1,1,2454,2025-06-16
2025-06-16 09:00:19.156410,1265.0,1,1265.0,9,1270.0,155,1,2454,2025-06-16
2025-06-16 09:00:19.231498,1270.0,9,1265.0,21,1270.0,144,1,2454,2025-06-16
2025-06-16 09:00:19.232681,1270.0,5,1265.0,21,1270.0,153,1,2454,2025-06-16
2025-06-16 09:00:19.269967,1265.0,2,1265.0,23,1270.0,139,2,2454,2025-06-16
2025-06-16 09:00:19.270040,1265.0,1,1265.0,22,1270.0,139,2,2454,2025-06-16
2025-06-16 09:00:19.307420,1270.0,1,1265.0,22,1270.0,138,1,2454,2025-06-16
2025-06-16 09:00:19.341819,1270.0,1,1265.0,28,1270.0,137,1,2454,2025-06-16
2025-06-16 09:00:19.425743,1270.0,2,1265.0,29,1270.0,137,1,2454,2025-06-16
