ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type,code,date
2025-06-12 09:00:02.307208,675.0,15,672.0,1,675.0,5,0,2357,2025-06-12
2025-06-12 09:00:02.356712,675.0,1,672.0,1,675.0,5,1,2357,2025-06-12
2025-06-12 09:00:08.414365,672.0,2,671.0,5,675.0,20,2,2357,2025-06-12
2025-06-12 09:00:30.763932,672.0,1,671.0,10,674.0,15,2,2357,2025-06-12
2025-06-12 09:00:33.608979,671.0,1,671.0,10,674.0,14,2,2357,2025-06-12
2025-06-12 09:00:41.376171,673.0,1,671.0,9,673.0,3,1,2357,2025-06-12
2025-06-12 09:01:00.004599,672.0,3,671.0,10,672.0,2,1,2357,2025-06-12
2025-06-12 09:01:02.081989,671.0,1,671.0,13,672.0,2,2,2357,2025-06-12
2025-06-12 09:01:02.188375,672.0,1,671.0,11,672.0,2,1,2357,2025-06-12
2025-06-12 09:01:04.171360,672.0,1,671.0,13,673.0,1,1,2357,2025-06-12
2025-06-12 09:01:04.868442,673.0,1,671.0,24,674.0,10,1,2357,2025-06-12
2025-06-12 09:01:18.082640,673.0,1,672.0,6,674.0,11,1,2357,2025-06-12
2025-06-12 09:02:02.442365,672.0,6,672.0,6,673.0,6,2,2357,2025-06-12
2025-06-12 09:02:04.271329,672.0,2,671.0,9,673.0,6,1,2357,2025-06-12
2025-06-12 09:02:04.335335,673.0,1,671.0,10,673.0,4,1,2357,2025-06-12
2025-06-12 09:02:04.593135,673.0,1,671.0,14,673.0,2,1,2357,2025-06-12
2025-06-12 09:02:06.823959,673.0,2,672.0,4,674.0,7,1,2357,2025-06-12
2025-06-12 09:02:12.868107,674.0,8,672.0,12,675.0,23,1,2357,2025-06-12
2025-06-12 09:02:12.915350,675.0,1,673.0,3,675.0,22,1,2357,2025-06-12
2025-06-12 09:02:13.015069,675.0,20,673.0,3,676.0,8,1,2357,2025-06-12
2025-06-12 09:02:13.071591,676.0,1,674.0,21,676.0,6,1,2357,2025-06-12
2025-06-12 09:02:13.286004,676.0,2,674.0,17,676.0,3,1,2357,2025-06-12
2025-06-12 09:02:15.029405,676.0,2,674.0,25,676.0,1,1,2357,2025-06-12
2025-06-12 09:02:17.163693,676.0,1,674.0,35,677.0,6,1,2357,2025-06-12
2025-06-12 09:02:19.354521,677.0,5,675.0,5,677.0,2,1,2357,2025-06-12
2025-06-12 09:02:19.740508,677.0,1,675.0,6,677.0,1,1,2357,2025-06-12
2025-06-12 09:02:24.632556,677.0,1,675.0,5,677.0,4,1,2357,2025-06-12
2025-06-12 09:02:27.268913,676.0,1,675.0,5,677.0,5,2,2357,2025-06-12
2025-06-12 09:02:27.312110,677.0,1,675.0,3,677.0,5,1,2357,2025-06-12
2025-06-12 09:02:28.780768,677.0,1,675.0,3,677.0,3,1,2357,2025-06-12
2025-06-12 09:02:29.382207,677.0,1,675.0,2,677.0,3,1,2357,2025-06-12
2025-06-12 09:02:29.486751,675.0,1,675.0,2,677.0,4,2,2357,2025-06-12
2025-06-12 09:02:29.486772,675.0,2,674.0,23,677.0,4,2,2357,2025-06-12
