ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type,code,date
2025-06-17 09:00:08.824694,688.0,51,688.0,3,689.0,10,1,2357,2025-06-17
2025-06-17 09:00:08.856753,688.0,2,688.0,1,689.0,10,2,2357,2025-06-17
2025-06-17 09:00:08.859799,688.0,1,687.0,8,688.0,1,2,2357,2025-06-17
2025-06-17 09:00:21.149610,688.0,7,688.0,3,689.0,11,1,2357,2025-06-17
2025-06-17 09:00:21.865499,689.0,10,688.0,28,689.0,10,1,2357,2025-06-17
2025-06-17 09:00:29.452443,689.0,4,689.0,15,690.0,25,2,2357,2025-06-17
2025-06-17 09:00:33.590559,689.0,1,689.0,3,690.0,26,2,2357,2025-06-17
2025-06-17 09:00:40.114202,689.0,1,689.0,2,690.0,26,2,2357,2025-06-17
2025-06-17 09:00:46.829052,689.0,1,689.0,3,690.0,26,2,2357,2025-06-17
2025-06-17 09:00:51.391353,689.0,3,688.0,31,689.0,1,2,2357,2025-06-17
2025-06-17 09:00:51.453539,689.0,1,689.0,1,690.0,26,1,2357,2025-06-17
2025-06-17 09:00:54.808579,689.0,1,689.0,1,690.0,26,2,2357,2025-06-17
2025-06-17 09:00:58.364361,689.0,1,688.0,8,690.0,29,1,2357,2025-06-17
2025-06-17 09:01:09.419982,690.0,19,689.0,7,690.0,10,1,2357,2025-06-17
2025-06-17 09:01:09.454961,690.0,2,689.0,9,690.0,8,1,2357,2025-06-17
2025-06-17 09:01:09.455026,690.0,2,689.0,9,690.0,6,1,2357,2025-06-17
2025-06-17 09:01:09.455340,690.0,2,689.0,9,690.0,4,1,2357,2025-06-17
2025-06-17 09:01:09.458858,690.0,4,690.0,1,691.0,6,1,2357,2025-06-17
2025-06-17 09:01:09.546520,690.0,1,690.0,9,691.0,5,2,2357,2025-06-17
2025-06-17 09:01:09.615188,690.0,1,690.0,6,691.0,5,2,2357,2025-06-17
2025-06-17 09:01:09.802992,690.0,5,689.0,20,691.0,6,2,2357,2025-06-17
2025-06-17 09:01:09.858447,690.0,1,690.0,1,691.0,7,2,2357,2025-06-17
2025-06-17 09:01:10.293889,691.0,2,689.0,5,691.0,8,1,2357,2025-06-17
2025-06-17 09:01:12.595627,691.0,1,689.0,12,691.0,9,1,2357,2025-06-17
2025-06-17 09:01:13.601912,690.0,6,690.0,6,691.0,8,2,2357,2025-06-17
2025-06-17 09:01:17.749499,690.0,1,689.0,9,690.0,4,1,2357,2025-06-17
2025-06-17 09:01:36.716717,690.0,1,689.0,11,690.0,14,1,2357,2025-06-17
2025-06-17 09:01:46.780281,690.0,1,689.0,10,690.0,13,1,2357,2025-06-17
2025-06-17 09:01:48.005620,690.0,13,689.0,10,691.0,6,1,2357,2025-06-17
2025-06-17 09:01:48.856864,690.0,1,690.0,2,691.0,6,2,2357,2025-06-17
2025-06-17 09:01:58.565748,690.0,2,690.0,3,691.0,9,2,2357,2025-06-17
2025-06-17 09:01:58.985086,690.0,3,689.0,14,691.0,10,2,2357,2025-06-17
2025-06-17 09:01:58.985086,689.0,3,689.0,14,691.0,10,2,2357,2025-06-17
2025-06-17 09:02:04.792028,689.0,3,689.0,5,690.0,9,2,2357,2025-06-17
2025-06-17 09:02:08.193170,689.0,2,689.0,4,690.0,9,2,2357,2025-06-17
2025-06-17 09:02:08.208358,689.0,3,689.0,1,690.0,9,2,2357,2025-06-17
2025-06-17 09:02:14.445652,689.0,1,688.0,10,690.0,11,2,2357,2025-06-17
2025-06-17 09:02:20.584765,689.0,1,688.0,9,689.0,2,1,2357,2025-06-17
2025-06-17 09:02:23.097883,689.0,2,688.0,9,689.0,3,1,2357,2025-06-17
2025-06-17 09:02:35.440321,689.0,5,688.0,10,689.0,2,1,2357,2025-06-17
2025-06-17 09:02:49.664998,689.0,1,688.0,8,689.0,2,1,2357,2025-06-17
2025-06-17 09:02:57.025187,689.0,1,688.0,8,689.0,1,1,2357,2025-06-17
2025-06-17 09:03:02.072352,688.0,1,688.0,7,689.0,2,2,2357,2025-06-17
2025-06-17 09:03:02.826087,689.0,2,689.0,3,690.0,9,1,2357,2025-06-17
2025-06-17 09:03:02.852427,689.0,3,688.0,7,690.0,8,2,2357,2025-06-17
2025-06-17 09:03:05.189208,688.0,2,688.0,5,689.0,3,2,2357,2025-06-17
2025-06-17 09:03:05.211673,688.0,5,687.0,40,689.0,3,2,2357,2025-06-17
2025-06-17 09:03:10.048590,688.0,1,687.0,12,688.0,1,1,2357,2025-06-17
2025-06-17 09:03:17.352005,687.0,1,687.0,11,688.0,3,2,2357,2025-06-17
2025-06-17 09:03:21.695137,687.0,2,687.0,9,688.0,16,2,2357,2025-06-17
2025-06-17 09:03:21.705232,687.0,9,686.0,11,688.0,16,2,2357,2025-06-17
2025-06-17 09:03:59.341734,686.0,11,685.0,5,687.0,11,2,2357,2025-06-17
2025-06-17 09:04:21.561280,685.0,2,685.0,17,686.0,4,2,2357,2025-06-17
2025-06-17 09:04:27.915552,686.0,1,685.0,17,686.0,4,1,2357,2025-06-17
2025-06-17 09:04:44.232795,686.0,5,685.0,22,687.0,4,1,2357,2025-06-17
2025-06-17 09:04:53.826217,687.0,1,686.0,15,687.0,1,1,2357,2025-06-17
2025-06-17 09:04:54.200307,687.0,2,687.0,8,689.0,5,1,2357,2025-06-17
2025-06-17 09:04:54.299600,687.0,1,687.0,11,689.0,4,2,2357,2025-06-17
2025-06-17 09:05:01.227800,687.0,1,687.0,11,689.0,6,2,2357,2025-06-17
2025-06-17 09:05:15.567011,688.0,3,687.0,8,689.0,17,2,2357,2025-06-17
2025-06-17 09:05:38.680252,688.0,1,687.0,15,688.0,6,1,2357,2025-06-17
2025-06-17 09:05:59.819542,688.0,1,687.0,9,688.0,8,1,2357,2025-06-17
2025-06-17 09:06:04.440319,688.0,1,687.0,9,688.0,6,1,2357,2025-06-17
2025-06-17 09:06:04.765462,688.0,1,687.0,9,688.0,5,1,2357,2025-06-17
2025-06-17 09:06:18.327921,688.0,1,687.0,10,688.0,5,1,2357,2025-06-17
2025-06-17 09:06:27.377274,688.0,2,687.0,10,688.0,3,1,2357,2025-06-17
2025-06-17 09:06:29.843968,688.0,1,687.0,10,688.0,2,1,2357,2025-06-17
2025-06-17 09:06:42.980624,688.0,1,687.0,10,688.0,1,1,2357,2025-06-17
2025-06-17 09:07:06.071816,688.0,2,687.0,11,688.0,4,1,2357,2025-06-17
2025-06-17 09:07:53.746078,688.0,1,687.0,11,688.0,2,1,2357,2025-06-17
2025-06-17 09:08:19.874390,688.0,1,687.0,13,688.0,1,1,2357,2025-06-17
2025-06-17 09:08:39.979986,687.0,3,687.0,7,688.0,13,2,2357,2025-06-17
2025-06-17 09:08:40.002528,687.0,4,686.0,8,688.0,14,2,2357,2025-06-17
2025-06-17 09:08:56.663077,687.0,1,686.0,6,688.0,16,2,2357,2025-06-17
2025-06-17 09:09:20.585486,687.0,2,686.0,8,687.0,5,1,2357,2025-06-17
2025-06-17 09:09:24.852646,687.0,1,686.0,9,687.0,4,1,2357,2025-06-17
2025-06-17 09:09:54.431166,686.0,3,686.0,9,687.0,4,2,2357,2025-06-17
2025-06-17 09:09:56.838697,687.0,4,687.0,3,688.0,13,1,2357,2025-06-17
2025-06-17 09:10:03.037292,687.0,7,686.0,8,687.0,3,2,2357,2025-06-17
2025-06-17 09:10:18.574823,686.0,6,686.0,4,687.0,7,2,2357,2025-06-17
