ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type,code,date
2025-06-16 09:00:04.795698,681.0,23,680.0,2,682.0,1,2,2357,2025-06-16
2025-06-16 09:00:04.930648,680.0,2,679.0,5,680.0,1,2,2357,2025-06-16
2025-06-16 09:00:04.971199,680.0,1,679.0,5,680.0,1,1,2357,2025-06-16
2025-06-16 09:00:05.261398,680.0,1,679.0,5,682.0,1,2,2357,2025-06-16
2025-06-16 09:00:09.490641,680.0,1,679.0,7,682.0,1,1,2357,2025-06-16
2025-06-16 09:00:21.586392,680.0,1,679.0,7,680.0,3,1,2357,2025-06-16
2025-06-16 09:00:24.182717,680.0,1,679.0,7,680.0,2,1,2357,2025-06-16
2025-06-16 09:00:28.745991,680.0,1,679.0,9,680.0,1,1,2357,2025-06-16
2025-06-16 09:00:31.659517,680.0,1,679.0,10,682.0,3,1,2357,2025-06-16
2025-06-16 09:00:31.726116,679.0,2,679.0,8,682.0,3,2,2357,2025-06-16
2025-06-16 09:01:16.502702,680.0,1,680.0,3,682.0,14,2,2357,2025-06-16
2025-06-16 09:01:16.504664,680.0,1,680.0,2,682.0,14,2,2357,2025-06-16
2025-06-16 09:01:16.536464,680.0,1,680.0,1,682.0,14,2,2357,2025-06-16
2025-06-16 09:01:16.604640,680.0,1,679.0,6,682.0,15,2,2357,2025-06-16
2025-06-16 09:01:21.584485,680.0,1,679.0,4,681.0,16,2,2357,2025-06-16
2025-06-16 09:01:23.400007,680.0,1,679.0,4,681.0,16,2,2357,2025-06-16
2025-06-16 09:01:33.738527,679.0,1,679.0,3,681.0,16,2,2357,2025-06-16
2025-06-16 09:01:36.355034,679.0,3,678.0,17,680.0,20,2,2357,2025-06-16
2025-06-16 09:01:36.390459,678.0,1,678.0,16,679.0,1,2,2357,2025-06-16
2025-06-16 09:01:36.423454,678.0,11,678.0,5,679.0,1,2,2357,2025-06-16
2025-06-16 09:01:37.952491,678.0,1,678.0,4,679.0,5,2,2357,2025-06-16
2025-06-16 09:01:37.991020,678.0,4,678.0,5,679.0,5,2,2357,2025-06-16
2025-06-16 09:01:48.260840,677.0,1,677.0,3,678.0,1,2,2357,2025-06-16
2025-06-16 09:01:56.718629,677.0,1,677.0,5,678.0,2,2,2357,2025-06-16
2025-06-16 09:01:59.019799,677.0,1,677.0,4,678.0,2,2,2357,2025-06-16
2025-06-16 09:02:04.435853,677.0,1,677.0,5,678.0,5,2,2357,2025-06-16
2025-06-16 09:02:12.365925,677.0,1,677.0,4,678.0,6,2,2357,2025-06-16
2025-06-16 09:02:13.347325,677.0,4,676.0,10,678.0,6,2,2357,2025-06-16
2025-06-16 09:02:16.299913,678.0,5,677.0,12,679.0,13,1,2357,2025-06-16
2025-06-16 09:02:29.512104,679.0,5,677.0,16,679.0,4,1,2357,2025-06-16
2025-06-16 09:02:29.533436,679.0,4,678.0,1,679.0,1,1,2357,2025-06-16
2025-06-16 09:02:29.555873,679.0,1,678.0,2,680.0,23,1,2357,2025-06-16
2025-06-16 09:02:36.560521,680.0,21,679.0,7,681.0,4,1,2357,2025-06-16
2025-06-16 09:02:46.969280,680.0,2,680.0,17,681.0,2,2,2357,2025-06-16
2025-06-16 09:02:53.411203,681.0,2,680.0,16,682.0,4,1,2357,2025-06-16
2025-06-16 09:02:53.832519,680.0,1,680.0,15,682.0,6,2,2357,2025-06-16
2025-06-16 09:02:59.805283,682.0,1,681.0,1,682.0,5,1,2357,2025-06-16
2025-06-16 09:02:59.855257,682.0,1,681.0,1,682.0,4,1,2357,2025-06-16
2025-06-16 09:02:59.856999,682.0,1,681.0,1,682.0,3,1,2357,2025-06-16
2025-06-16 09:03:01.953744,682.0,3,681.0,5,683.0,15,1,2357,2025-06-16
2025-06-16 09:03:03.463559,681.0,1,681.0,5,683.0,16,2,2357,2025-06-16
2025-06-16 09:03:19.439376,681.0,3,681.0,4,683.0,18,2,2357,2025-06-16
2025-06-16 09:03:52.792700,681.0,1,681.0,7,682.0,3,2,2357,2025-06-16
2025-06-16 09:04:05.945926,681.0,1,681.0,6,682.0,4,2,2357,2025-06-16
2025-06-16 09:04:08.487659,682.0,1,681.0,6,682.0,4,1,2357,2025-06-16
2025-06-16 09:04:57.962873,681.0,1,681.0,3,682.0,15,2,2357,2025-06-16
2025-06-16 09:05:10.369953,681.0,1,681.0,2,682.0,17,2,2357,2025-06-16
2025-06-16 09:05:20.663467,681.0,1,681.0,1,682.0,17,2,2357,2025-06-16
2025-06-16 09:05:23.123361,681.0,1,680.0,9,682.0,17,2,2357,2025-06-16
2025-06-16 09:05:23.848276,680.0,2,679.0,4,681.0,1,2,2357,2025-06-16
2025-06-16 09:05:23.848276,679.0,3,679.0,4,681.0,1,2,2357,2025-06-16
2025-06-16 09:05:23.908408,679.0,4,679.0,8,681.0,8,2,2357,2025-06-16
2025-06-16 09:05:44.487965,680.0,1,679.0,11,681.0,6,1,2357,2025-06-16
2025-06-16 09:05:58.547602,680.0,2,679.0,12,681.0,16,1,2357,2025-06-16
2025-06-16 09:05:58.593482,680.0,1,679.0,13,681.0,15,2,2357,2025-06-16
2025-06-16 09:05:59.763175,680.0,1,679.0,12,681.0,15,1,2357,2025-06-16
2025-06-16 09:06:07.421131,679.0,1,679.0,11,681.0,15,2,2357,2025-06-16
2025-06-16 09:06:37.911602,680.0,1,679.0,11,681.0,15,1,2357,2025-06-16
2025-06-16 09:06:38.225851,680.0,1,679.0,11,681.0,15,1,2357,2025-06-16
2025-06-16 09:06:45.200587,680.0,1,679.0,10,681.0,15,1,2357,2025-06-16
2025-06-16 09:07:13.226501,681.0,14,680.0,6,682.0,6,1,2357,2025-06-16
2025-06-16 09:07:13.294025,682.0,5,680.0,10,683.0,16,1,2357,2025-06-16
2025-06-16 09:07:29.668475,682.0,1,681.0,12,683.0,15,1,2357,2025-06-16
2025-06-16 09:08:10.432129,682.0,2,681.0,1,683.0,21,2,2357,2025-06-16
2025-06-16 09:08:33.462002,682.0,1,681.0,4,683.0,21,1,2357,2025-06-16
2025-06-16 09:09:06.932415,683.0,1,682.0,1,683.0,18,1,2357,2025-06-16
2025-06-16 09:09:07.416481,682.0,1,681.0,6,683.0,18,2,2357,2025-06-16
2025-06-16 09:09:16.036104,683.0,1,681.0,12,683.0,17,1,2357,2025-06-16
2025-06-16 09:09:16.067312,683.0,17,681.0,12,684.0,26,1,2357,2025-06-16
2025-06-16 09:09:34.593537,683.0,1,682.0,5,684.0,27,2,2357,2025-06-16
2025-06-16 09:09:35.460356,683.0,1,682.0,2,684.0,27,2,2357,2025-06-16
2025-06-16 09:09:59.722337,683.0,1,682.0,2,684.0,26,1,2357,2025-06-16
2025-06-16 09:10:04.700891,682.0,8,681.0,13,684.0,26,2,2357,2025-06-16
2025-06-16 09:10:13.589324,681.0,1,681.0,17,684.0,28,2,2357,2025-06-16
2025-06-16 09:10:17.397380,683.0,1,683.0,1,684.0,29,2,2357,2025-06-16
2025-06-16 09:10:27.346830,683.0,3,682.0,1,683.0,3,1,2357,2025-06-16
2025-06-16 09:10:27.560638,683.0,1,682.0,6,684.0,27,2,2357,2025-06-16
