ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type,code,date
2025-06-19 09:00:17.997419,707.0,30,705.0,1,707.0,3,1,2357,2025-06-19
2025-06-19 09:00:18.171907,707.0,1,706.0,1,707.0,2,1,2357,2025-06-19
2025-06-19 09:00:22.685315,706.0,1,706.0,6,707.0,8,2,2357,2025-06-19
2025-06-19 09:00:22.847685,707.0,1,706.0,6,707.0,8,1,2357,2025-06-19
2025-06-19 09:00:28.310538,706.0,2,706.0,4,707.0,8,2,2357,2025-06-19
2025-06-19 09:00:42.385950,706.0,5,705.0,1,707.0,10,2,2357,2025-06-19
2025-06-19 09:00:57.169735,705.0,1,705.0,1,706.0,2,2,2357,2025-06-19
2025-06-19 09:01:14.485551,705.0,1,705.0,3,706.0,10,2,2357,2025-06-19
2025-06-19 09:01:23.778786,706.0,5,705.0,15,707.0,2,1,2357,2025-06-19
2025-06-19 09:01:23.846356,707.0,1,706.0,1,707.0,1,1,2357,2025-06-19
2025-06-19 09:01:23.910293,707.0,1,706.0,5,708.0,8,1,2357,2025-06-19
2025-06-19 09:01:24.032604,708.0,6,706.0,5,708.0,2,1,2357,2025-06-19
2025-06-19 09:01:24.060598,707.0,1,706.0,5,708.0,2,1,2357,2025-06-19
2025-06-19 09:01:38.824579,707.0,2,707.0,2,708.0,2,2,2357,2025-06-19
2025-06-19 09:01:41.527240,708.0,1,707.0,2,708.0,1,1,2357,2025-06-19
2025-06-19 09:01:46.811382,707.0,1,707.0,2,708.0,1,2,2357,2025-06-19
2025-06-19 09:01:47.440538,708.0,1,707.0,2,709.0,9,1,2357,2025-06-19
2025-06-19 09:02:21.717424,708.0,1,707.0,4,708.0,7,1,2357,2025-06-19
2025-06-19 09:02:25.279734,708.0,1,707.0,5,708.0,6,1,2357,2025-06-19
2025-06-19 09:02:30.630929,708.0,1,707.0,5,708.0,5,1,2357,2025-06-19
2025-06-19 09:02:48.438383,707.0,1,707.0,6,708.0,10,2,2357,2025-06-19
2025-06-19 09:02:57.496551,708.0,10,707.0,8,708.0,1,1,2357,2025-06-19
2025-06-19 09:02:57.537962,708.0,1,707.0,8,709.0,11,1,2357,2025-06-19
2025-06-19 09:02:57.577686,709.0,2,707.0,15,709.0,9,1,2357,2025-06-19
2025-06-19 09:02:58.544633,709.0,2,708.0,8,709.0,9,1,2357,2025-06-19
2025-06-19 09:02:58.574809,709.0,2,708.0,7,709.0,5,1,2357,2025-06-19
2025-06-19 09:02:58.574984,709.0,3,708.0,7,709.0,2,1,2357,2025-06-19
2025-06-19 09:02:58.609202,709.0,2,708.0,10,709.0,2,1,2357,2025-06-19
2025-06-19 09:03:00.051966,710.0,2,709.0,3,710.0,45,1,2357,2025-06-19
2025-06-19 09:03:00.910483,710.0,1,709.0,11,710.0,44,1,2357,2025-06-19
2025-06-19 09:03:00.958802,710.0,1,709.0,11,710.0,43,1,2357,2025-06-19
2025-06-19 09:03:06.156749,710.0,1,709.0,12,710.0,42,1,2357,2025-06-19
2025-06-19 09:03:16.514908,710.0,1,709.0,13,710.0,43,1,2357,2025-06-19
2025-06-19 09:03:22.294136,710.0,1,709.0,13,710.0,43,1,2357,2025-06-19
2025-06-19 09:03:27.578983,710.0,1,709.0,13,710.0,42,1,2357,2025-06-19
2025-06-19 09:03:42.220845,710.0,1,709.0,15,710.0,42,1,2357,2025-06-19
2025-06-19 09:03:42.315617,709.0,1,709.0,14,710.0,42,2,2357,2025-06-19
2025-06-19 09:03:43.857991,709.0,3,709.0,11,710.0,43,2,2357,2025-06-19
2025-06-19 09:03:50.187276,709.0,1,709.0,11,710.0,45,2,2357,2025-06-19
2025-06-19 09:03:52.684007,709.0,1,709.0,10,710.0,45,2,2357,2025-06-19
2025-06-19 09:03:54.576340,709.0,1,709.0,9,710.0,45,2,2357,2025-06-19
2025-06-19 09:03:55.912187,709.0,1,709.0,9,710.0,45,2,2357,2025-06-19
2025-06-19 09:03:55.945201,710.0,9,709.0,9,710.0,36,1,2357,2025-06-19
2025-06-19 09:03:57.041210,709.0,1,709.0,12,710.0,36,2,2357,2025-06-19
2025-06-19 09:03:57.125490,710.0,2,709.0,29,710.0,34,1,2357,2025-06-19
2025-06-19 09:03:57.132124,710.0,2,709.0,30,710.0,32,1,2357,2025-06-19
2025-06-19 09:03:57.132303,710.0,12,709.0,30,710.0,20,1,2357,2025-06-19
2025-06-19 09:03:57.165273,710.0,20,709.0,30,711.0,31,1,2357,2025-06-19
2025-06-19 09:03:57.191859,711.0,2,710.0,6,711.0,29,1,2357,2025-06-19
2025-06-19 09:03:57.444125,711.0,3,710.0,11,711.0,26,1,2357,2025-06-19
2025-06-19 09:04:04.249805,710.0,1,710.0,15,711.0,26,2,2357,2025-06-19
2025-06-19 09:04:11.450920,710.0,1,710.0,15,711.0,27,2,2357,2025-06-19
2025-06-19 09:04:14.925103,710.0,2,710.0,13,711.0,31,2,2357,2025-06-19
2025-06-19 09:04:21.057907,710.0,12,709.0,11,711.0,39,2,2357,2025-06-19
2025-06-19 09:04:28.186671,710.0,1,709.0,6,710.0,12,1,2357,2025-06-19
2025-06-19 09:04:37.313465,709.0,1,709.0,5,710.0,3,2,2357,2025-06-19
2025-06-19 09:04:39.378574,709.0,1,709.0,4,710.0,5,2,2357,2025-06-19
2025-06-19 09:04:43.321146,709.0,1,709.0,4,710.0,10,2,2357,2025-06-19
2025-06-19 09:04:49.330464,709.0,1,709.0,4,710.0,9,2,2357,2025-06-19
2025-06-19 09:04:51.355461,709.0,1,709.0,3,710.0,9,2,2357,2025-06-19
2025-06-19 09:04:53.754075,709.0,1,709.0,2,710.0,9,2,2357,2025-06-19
2025-06-19 09:04:53.758805,709.0,2,708.0,10,710.0,9,2,2357,2025-06-19
