ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type,code,date
2025-06-18 09:00:05.571812,43.65,7,43.4,2,43.65,3,1,2316,2025-06-18
2025-06-18 09:02:00.526469,43.5,1,43.45,1,43.6,3,2,2316,2025-06-18
2025-06-18 09:02:17.556687,43.45,1,43.4,2,43.55,2,2,2316,2025-06-18
2025-06-18 09:04:54.537148,43.4,1,43.4,1,43.6,1,2,2316,2025-06-18
2025-06-18 09:09:33.644071,43.5,1,43.4,1,43.6,1,1,2316,2025-06-18
2025-06-18 09:22:09.792823,43.5,2,43.45,1,43.6,1,2,2316,2025-06-18
2025-06-18 09:25:04.746349,43.45,1,43.4,1,43.5,1,2,2316,2025-06-18
2025-06-18 09:25:04.746349,43.4,1,43.4,1,43.5,1,2,2316,2025-06-18
2025-06-18 09:26:58.684693,43.4,1,43.4,1,43.5,1,2,2316,2025-06-18
2025-06-18 09:32:02.340434,43.5,2,43.4,3,43.55,1,1,2316,2025-06-18
2025-06-18 09:32:32.655003,43.6,1,43.75,2,43.8,2,1,2316,2025-06-18
2025-06-18 09:32:32.655003,43.65,4,43.75,2,43.8,2,1,2316,2025-06-18
2025-06-18 09:32:32.655003,43.7,4,43.75,2,43.8,2,1,2316,2025-06-18
2025-06-18 09:32:32.655003,43.75,9,43.75,2,43.8,2,1,2316,2025-06-18
2025-06-18 09:32:32.677690,43.75,1,43.75,1,43.8,2,2,2316,2025-06-18
2025-06-18 09:32:32.775543,43.75,1,43.75,3,43.9,1,2,2316,2025-06-18
2025-06-18 09:32:35.973868,43.75,1,43.75,3,43.9,1,2,2316,2025-06-18
2025-06-18 09:34:59.808680,43.9,3,43.75,3,44.05,2,1,2316,2025-06-18
2025-06-18 09:34:59.808680,44.0,5,43.75,3,44.05,2,1,2316,2025-06-18
2025-06-18 09:35:14.350741,44.1,1,44.0,1,44.15,1,1,2316,2025-06-18
2025-06-18 09:35:14.420400,44.0,1,44.0,1,44.15,1,2,2316,2025-06-18
2025-06-18 09:36:48.378767,44.0,1,44.0,2,44.2,1,2,2316,2025-06-18
2025-06-18 09:38:05.818342,44.15,4,44.0,4,44.2,2,1,2316,2025-06-18
2025-06-18 09:38:05.864488,44.2,2,44.05,1,44.25,2,1,2316,2025-06-18
2025-06-18 09:39:00.877358,44.2,2,44.05,1,44.2,3,1,2316,2025-06-18
2025-06-18 09:39:14.594360,44.2,3,44.05,1,44.3,3,1,2316,2025-06-18
2025-06-18 09:39:14.594360,44.25,3,44.05,1,44.3,3,1,2316,2025-06-18
2025-06-18 09:39:14.594360,44.3,4,44.05,1,44.3,3,1,2316,2025-06-18
2025-06-18 09:39:30.646023,44.3,4,44.1,2,44.35,1,1,2316,2025-06-18
2025-06-18 09:39:42.268374,44.3,1,44.15,3,44.35,1,1,2316,2025-06-18
2025-06-18 09:41:46.231360,44.3,2,44.3,1,44.35,1,2,2316,2025-06-18
2025-06-18 09:42:13.649391,44.3,1,44.3,3,44.35,2,2,2316,2025-06-18
2025-06-18 09:42:45.205683,44.3,1,44.3,2,44.35,2,2,2316,2025-06-18
2025-06-18 09:42:45.280286,44.3,2,44.25,1,44.35,2,2,2316,2025-06-18
2025-06-18 09:42:45.310266,44.3,1,44.25,1,44.35,2,2,2316,2025-06-18
2025-06-18 09:44:41.265853,44.3,1,44.1,3,44.3,2,1,2316,2025-06-18
